André Brinkmann
Antoni B. Chan
Buzhou Tang
Can Chen
Changlong Li
Changsheng Xie
Chao Wang
Chuanhui Yang
Chun Jason Xue
Chun Xue
Congming Gao
Daniel Wen
Dongdong Tang
Dongxiao Yu
Fei Guan
Fei Wu
Guanyu Wu
Guoliang Xing
Haibo Hu
Haolun Wu
Hong Xu
Hongchao Du
Hongming Huang
Hongyang Dang
Hu Wan
Jason Xue
Jen-Ming Wu
Jiacheng Huang
Jianping Wang
Jie Zhang
Jinghuan Yu
Jingzong Li
Jinheng Li
Jinkyu Lee
Jiwu Shu
Jun Wang
Junhui He
Junlong Zhu
Junqiao Qiu
Juxin Niu
Kaihuan Lin
Kaiwei Mo
Kan Zhong
Kui Wu
Liang Shi
Lianming Huang
Libin Liu
Lihao Dong
Linjing Liu
Menglong Cui
Mengying Zhao
Min Ye
Mingsong Lv
Minhui (Jason) Xue
Minhui Xue
Nan Guan
Neiwen Ling
Peng Wang
Qiang Su
Qiao Li
Qingan Li
Qingxu Deng
Quanqing Xu
Rachata Ausavarungnirun
Shangyu Wu
Shuhan Bai
Shuo Xu
Tao Hu
Tao Yang
Tei-Wei Kuo
Tianchi Ren
Tianyu Ren
Wei Lin
Wei Zhang
Weidong Wen
Weilan Wang
Wenjing Xie
Xianglong Li
Xiangyu Yao
Xiaojun Cai
Xinbiao Gan
Xinhong Chen
Xue Liu
Xuehai Zhou
Yajuan Du
Ye Yuan
Yeqiao Hou
Yina Lv
Ying Xiong
Yiyang Zhou
You Zhou
Yu Chen
Yu Liang
Yu Mao
Yu-Kai Huang
Yufei Cui
Yung-Hui Li
Yunmo Zhang
Zheng Wan
Zhiping Jia
Zhirong Shen
Zhixiong Niu
Zikang Zhou
Ziwei Song
Zongpeng Li
https://ieeexplore.ieee.org/author/
https://www.scopus.com/authid/detail.uri?authorId=
https://zbmath.org/authors/?q=ai:xue.chun-jason
